filename;lang;lang_proba
'340.txt';'en';'[en:0.9999968647845776]'
'368.txt';'en';'[en:0.9999953068440119]'
'369.txt';'en';'[en:0.9999938347542069]'
'427.txt';'en';'[en:0.9999977428444486]'
'341.txt';'en';'[en:0.9999967019250058]'
'355.txt';'en';'[en:0.9999969396231401]'
'433.txt';'en';'[en:0.9999976180167451]'
'382.txt';'en';'[en:0.9999954127205609]'
'396.txt';'ro';'[ro:0.9999940491060786]'
'619.txt';'en';'[en:0.9999976228216204]'
'81.txt';'en';'[en:0.9999954054733434]'
'95.txt';'en';'[en:0.9999952416561272]'
'143.txt';'en';'[en:0.999994933441636]'
'625.txt';'en';'[en:0.9999970848712681]'
'157.txt';'en';'[en:0.9999957651934894]'
'42.txt';'en';'[en:0.9999972467921208]'
'56.txt';'en';'[en:0.9999980376099511]'
'4.txt';'en';'[en:0.9999953289686796]'
'180.txt';'en';'[en:0.9999953326868515]'
'194.txt';'sk';'[sk:0.9999955300128788]'
'209.txt';'en';'[en:0.9999987725358982]'
'553.txt';'en';'[en:0.9999971812731872]'
'235.txt';'en';'[en:0.9999969808082063]'
'221.txt';'en';'[en:0.9999981697870461]'
'590.txt';'en';'[en:0.999994654510704]'
'584.txt';'en';'[en:0.9999953430893546]'
'592.txt';'en';'[en:0.9999977223388894]'
'586.txt';'en';'[en:0.9999952622220404]'
'237.txt';'en';'[en:0.9999971935698828]'
'551.txt';'en';'[en:0.9999962496010396]'
'545.txt';'en';'[en:0.9999986158790084]'
'223.txt';'en';'[en:0.9999971413917084]'
'579.txt';'es';'[es:0.9999974382964952]'
'182.txt';'en';'[en:0.9999969387989341]'
'196.txt';'en';'[en:0.999994261168481]'
'68.txt';'en';'[en:0.9999950443085566]'
'40.txt';'en';'[en:0.9999958844793261]'
'6.txt';'vi';'[vi:0.8571409534635768, ca:0.14285735434828584]'
'54.txt';'en';'[en:0.9999976784860298]'
'627.txt';'en';'[en:0.9999958104377127]'
'141.txt';'en';'[en:0.9999972367841746]'
'155.txt';'en';'[en:0.9999968268553856]'
'633.txt';'en';'[en:0.999998690771636]'
'83.txt';'en';'[en:0.9999962137460674]'
'169.txt';'en';'[en:0.9999964474752611]'
'97.txt';'en';'[en:0.9999962305443515]'
'380.txt';'en';'[en:0.9999976404935134]'
'394.txt';'en';'[en:0.9999963977805213]'
'343.txt';'en';'[en:0.9999953283430068]'
'425.txt';'en';'[en:0.9999971039236712]'
'431.txt';'en';'[en:0.9999978860401546]'
'357.txt';'sv';'[sv:0.9999967982112967]'
'419.txt';'en';'[en:0.999996965333017]'
'418.txt';'da';'[da:0.9021895823368498]'
'430.txt';'en';'[en:0.9999958369647555]'
'356.txt';'en';'[en:0.9999956631269615]'
'342.txt';'en';'[en:0.7142841545744908, cy:0.2857129047456892]'
'424.txt';'en';'[en:0.9999968277177071]'
'381.txt';'en';'[en:0.9999958589350575]'
'168.txt';'en';'[en:0.9999977357331282]'
'96.txt';'en';'[en:0.9999967323678595]'
'82.txt';'en';'[en:0.9999962360048263]'
'154.txt';'en';'[en:0.9999965424318289]'
'632.txt';'en';'[en:0.9999982872205375]'
'626.txt';'en';'[en:0.9999966902888034]'
'140.txt';'en';'[en:0.9999963813545057]'
'7.txt';'en';'[en:0.9999968764665983]'
'55.txt';'en';'[en:0.9999974381488771]'
'41.txt';'en';'[en:0.9999988211852354]'
'197.txt';'en';'[en:0.9999972243483457]'
'69.txt';'de';'[de:0.9999937330650489]'
'183.txt';'en';'[en:0.9999943520321674]'
'578.txt';'en';'[en:0.9999967310799776]'
'544.txt';'en';'[en:0.9999946295621103]'
'222.txt';'en';'[en:0.9999976459049853]'
'236.txt';'en';'[en:0.9999953081521303]'
'593.txt';'en';'[en:0.9999963944344773]'
'597.txt';'en';'[en:0.9999967774370041]'
'583.txt';'en';'[en:0.9999959458285963]'
'568.txt';'en';'[en:0.9999965202851782]'
'554.txt';'en';'[en:0.9999958391123497]'
'232.txt';'en';'[en:0.9999937035004138]'
'540.txt';'en';'[en:0.9999972353034484]'
'45.txt';'en';'[en:0.9999944433659574]'
'51.txt';'en';'[en:0.9999962478745368]'
'3.txt';'en';'[en:0.9999974626597488]'
'187.txt';'en';'[en:0.9999959468125372]'
'79.txt';'nl';'[nl:0.9999976683902373]'
'193.txt';'en';'[en:0.9999986461925274]'
'178.txt';'en';'[en:0.9999966470038759]'
'86.txt';'en';'[en:0.9999950274615104]'
'144.txt';'en';'[en:0.9999974698659727]'
'622.txt';'en';'[en:0.9999973626723676]'
'150.txt';'en';'[en:0.999995450736137]'
'385.txt';'en';'[en:0.9999976806527126]'
'391.txt';'en';'[en:0.9999965726744533]'
'408.txt';'en';'[en:0.9999982258659673]'
'420.txt';'en';'[en:0.9999970404786203]'
'346.txt';'en';'[en:0.8571387793601424, cy:0.14285721951239017]'
'352.txt';'en';'[en:0.9999969846216029]'
'434.txt';'en';'[en:0.9999960438206841]'
'353.txt';'en';'[en:0.999995517384073]'
'435.txt';'en';'[en:0.9999968151735392]'
'421.txt';'en';'[en:0.9999956009965912]'
'347.txt';-;-
'409.txt';'en';'[en:0.9999976210080392]'
'390.txt';'en';'[en:0.9999963453316667]'
'384.txt';'en';'[en:0.9999971570834942]'
'637.txt';'en';'[en:0.9999963032457035]'
'151.txt';'en';'[en:0.9999971623366843]'
'145.txt';'en';'[en:0.9999975062983806]'
'623.txt';'en';'[en:0.9999975348319687]'
'93.txt';'en';'[en:0.9999961353290472]'
'179.txt';'en';'[en:0.9999959480078802]'
'87.txt';'en';'[en:0.9999975753755688]'
'192.txt';'en';'[en:0.9999983441967936]'
'186.txt';'en';'[en:0.9999984740751678]'
'78.txt';'en';'[en:0.9999981607238075]'
'50.txt';'en';'[en:0.9999963444385144]'
'2.txt';'en';'[en:0.9999966738395389]'
'44.txt';'en';'[en:0.9999961919906437]'
'227.txt';'en';'[en:0.999997331570628]'
'541.txt';'en';'[en:0.9999964826634034]'
'233.txt';'en';'[en:0.9999972464832528]'
'569.txt';'en';'[en:0.999997546228087]'
'582.txt';'en';'[en:0.9999955829209443]'
'596.txt';'en';'[en:0.9999988229587236]'
'580.txt';'es';'[es:0.9999968843007455]'
'594.txt';'en';'[en:0.9999970841126747]'
'219.txt';'en';'[en:0.9999962348962046]'
'543.txt';'en';'[en:0.9999984219869762]'
'225.txt';'en';'[en:0.9999950658415846]'
'231.txt';'en';'[en:0.999996084014466]'
'557.txt';'en';'[en:0.9999971718251002]'
'0.txt';'en';'[en:0.9999978825715774]'
'52.txt';'en';'[en:0.9999971750557493]'
'46.txt';'en';'[en:0.9999959011405332]'
'190.txt';'en';'[en:0.9999946910098768]'
'184.txt';'en';'[en:0.9999968779529551]'
'609.txt';'en';'[en:0.9999965162957445]'
'91.txt';'en';'[en:0.9999969900083427]'
'85.txt';'en';'[en:0.9999978159430245]'
'153.txt';'en';'[en:0.9999969851259056]'
'635.txt';'en';'[en:0.9999957836634554]'
'621.txt';'en';'[en:0.9999952026849003]'
'147.txt';'en';'[en:0.9999972742189931]'
'392.txt';'en';'[en:0.9999960251033475]'
'379.txt';'en';'[en:0.999997297281094]'
'437.txt';'en';'[en:0.9999972090577811]'
'351.txt';'en';'[en:0.999995646558769]'
'345.txt';'en';'[en:0.9999955773781488]'
'423.txt';'en';'[en:0.9999970086760761]'
'344.txt';'en';'[en:0.9999979352337189]'
'422.txt';'en';'[en:0.9999968503826036]'
'436.txt';'ro';'[ro:0.9999925716697685]'
'350.txt';'en';'[en:0.9999947828417513]'
'378.txt';'en';'[en:0.9999977747861978]'
'387.txt';'en';'[en:0.9999979261773246]'
'393.txt';'en';'[en:0.9999971630338739]'
'620.txt';'en';'[en:0.9999968660205528]'
'146.txt';'en';'[en:0.9999972540514659]'
'152.txt';'en';'[en:0.9999979569274834]'
'634.txt';'en';'[en:0.9999960869193045]'
'84.txt';'en';'[en:0.9999971631447063]'
